SAMPLE_ID,TRIP_ID,START_DATETIME,START_RKM,CATCH_PER_HOUR
451740,LC20140513,5/15/2014,3.23,0.19
451741,LC20140513,5/13/2014,3.19,0.22
451742,LC20140513,5/14/2014,3.19,0.24
451743,LC20140513,5/15/2014,3.19,0.30
451744,LC20140513,5/13/2014,3.16,0.34
451746,LC20140513,5/15/2014,3.16,0.88
451747,LC20140513,5/13/2014,3.13,0.29
451748,LC20140513,5/14/2014,3.13,0.20
451749,LC20140513,5/15/2014,3.13,0.14
451751,LC20140513,5/14/2014,3.1,0.16
451752,LC20140513,5/15/2014,3.1,0.28
451754,LC20140513,5/14/2014,3.02,0.10
451755,LC20140513,5/15/2014,3.02,0.10
451756,LC20140513,5/13/2014,3,0.04
451757,LC20140513,5/14/2014,3,0.05
451758,LC20140513,5/15/2014,3,0.07
451759,LC20140513,5/13/2014,2.98,0.12
451760,LC20140513,5/14/2014,2.98,0.21
451762,LC20140513,5/16/2014,2.91,0.17
451763,LC20140513,5/17/2014,2.91,0.11
451767,LC20140513,5/15/2014,14.24,3.82
451769,LC20140513,5/14/2014,14.27,1.44
451770,LC20140513,5/15/2014,14.27,3.10
451771,LC20140513,5/13/2014,14.38,0.60
451772,LC20140513,5/14/2014,14.38,1.27
451773,LC20140513,5/15/2014,14.38,0.54
451774,LC20140513,5/17/2014,14.43,0.18
451775,LC20140513,5/18/2014,14.43,0.30
451776,LC20140513,5/19/2014,14.47,3.13
451777,LC20140513,5/17/2014,14.66,1.82
451778,LC20140513,5/18/2014,14.66,0.97
451780,LC20140513,5/17/2014,14.69,1.91
451787,LC20140513,5/18/2014,15.26,0.32
451788,LC20140513,5/19/2014,15.26,0.15
451792,LC20140513,5/17/2014,15.68,3.64
451793,LC20140513,5/18/2014,15.68,1.06
451794,LC20140513,5/19/2014,15.68,0.85
451795,LC20140513,5/18/2014,15.75,0.71
451798,LC20140513,5/17/2014,15.77,1.44
451799,LC20140513,5/18/2014,15.77,0.90
451800,LC20140513,5/19/2014,15.77,0.96
451801,LC20140513,5/17/2014,15.87,1.99
451802,LC20140513,5/18/2014,15.87,0.89
451803,LC20140513,5/19/2014,15.87,1.05
451804,LC20140513,5/17/2014,15.9,1.54
451805,LC20140513,5/18/2014,15.9,2.04
451806,LC20140513,5/19/2014,15.9,1.56
451807,LC20140513,5/17/2014,15.95,0.74
451809,LC20140513,5/19/2014,15.94,0.30
451811,LC20140513,5/18/2014,16.11,0.26
451812,LC20140513,5/19/2014,16.11,0.46
451813,LC20140513,5/17/2014,16.14,1.20
451814,LC20140513,5/18/2014,16.13,2.06
451819,LC20140513,5/17/2014,16.19,0.21
451825,LC20140513,5/17/2014,16.33,1.57
451826,LC20140513,5/18/2014,16.33,1.25
451827,LC20140513,5/19/2014,16.31,1.00
