Sample,Length,Month,Year,RKM
451464,202,4,2014,7.59
451465,105,4,2014,7.6
451466,109,4,2014,7.6
451469,224,4,2014,7.62
451470,290,4,2014,7.89
451470,328,4,2014,7.89
451470,273,4,2014,7.89
451470,336,4,2014,7.89
451470,122,4,2014,7.89
451470,280,4,2014,7.89
451470,229,4,2014,7.89
451470,206,4,2014,7.89
451471,243,4,2014,7.89
451471,240,4,2014,7.89
451471,93,4,2014,7.89
451472,110,4,2014,7.95
451472,112,4,2014,7.95
451475,294,4,2014,7.95
451475,280,4,2014,7.95
451475,279,4,2014,7.95
451475,225,4,2014,7.95
451475,256,4,2014,7.95
451475,300,4,2014,7.95
451475,271,4,2014,7.95
451475,305,4,2014,7.95
451475,160,4,2014,7.95
451475,203,4,2014,7.95
451475,327,4,2014,7.95
451475,295,4,2014,7.95
451475,277,4,2014,7.95
451475,245,4,2014,7.95
451475,282,4,2014,7.95
451475,175,4,2014,7.95
451479,247,4,2014,7.99
451479,226,4,2014,7.99
451479,184,4,2014,7.99
451479,216,4,2014,7.99
451479,206,4,2014,7.99
451479,162,4,2014,7.99
451480,292,4,2014,8.07
451480,277,4,2014,8.07
451480,310,4,2014,8.07
451480,244,4,2014,8.07
451480,274,4,2014,8.07
451480,325,4,2014,8.07
451480,265,4,2014,8.07
451480,277,4,2014,8.07
451480,299,4,2014,8.07
451480,267,4,2014,8.07
451480,257,4,2014,8.07
451480,272,4,2014,8.07
451480,270,4,2014,8.07
451480,235,4,2014,8.07
451480,287,4,2014,8.07
451480,243,4,2014,8.07
451480,156,4,2014,8.07
451480,317,4,2014,8.07
451480,262,4,2014,8.07
451480,224,4,2014,8.07
451480,222,4,2014,8.07
451480,303,4,2014,8.07
451480,241,4,2014,8.07
451480,285,4,2014,8.07
451480,297,4,2014,8.07
451480,195,4,2014,8.07
451480,266,4,2014,8.07
451480,175,4,2014,8.07
451480,176,4,2014,8.07
451481,119,4,2014,8.07
451482,121,4,2014,8.07
451483,310,4,2014,8.17
451483,343,4,2014,8.17
451483,327,4,2014,8.17
451483,279,4,2014,8.17
451484,307,4,2014,8.17
451484,280,4,2014,8.17
451484,292,4,2014,8.17
451484,324,4,2014,8.17
451484,326,4,2014,8.17
451484,271,4,2014,8.17
451484,262,4,2014,8.17
451484,210,4,2014,8.17
451484,233,4,2014,8.17
451485,106,4,2014,8.17
451486,307,4,2014,8.23
451486,287,4,2014,8.23
451486,280,4,2014,8.23
451486,323,4,2014,8.23
451486,310,4,2014,8.23
451486,310,4,2014,8.23
451486,284,4,2014,8.23
451486,266,4,2014,8.23
451486,294,4,2014,8.23
